Identifier,Actual Dates:Duration months,Actual Dates:End Date,Actual Dates:Start Date,Amount Applied For,Amount Awarded,Amount Disbursed,Award Date,Beneficiary Location:0:Country Code,Beneficiary Location:0:Geographic Code,Beneficiary Location:0:Geographic Code Type,Beneficiary Location:0:Name,Beneficiary Location:1:Country Code,Beneficiary Location:1:Geographic Code,Beneficiary Location:1:Geographic Code Type,Beneficiary Location:1:Name,Beneficiary Location:2:Country Code,Beneficiary Location:2:Geographic Code,Beneficiary Location:2:Geographic Code Type,Beneficiary Location:2:Name,Beneficiary Location:3:Country Code,Beneficiary Location:3:Geographic Code,Beneficiary Location:3:Geographic Code Type,Beneficiary Location:3:Name,Beneficiary Location:4:Country Code,Beneficiary Location:4:Geographic Code,Beneficiary Location:4:Geographic Code Type,Beneficiary Location:4:Name,Beneficiary Location:5:Country Code,Beneficiary Location:5:Geographic Code,Beneficiary Location:5:Geographic Code Type,Beneficiary Location:5:Name,Beneficiary Location:6:Country Code,Beneficiary Location:6:Geographic Code,Beneficiary Location:6:Geographic Code Type,Beneficiary Location:6:Name,Beneficiary Location:7:Country Code,Beneficiary Location:7:Geographic Code,Beneficiary Location:7:Geographic Code Type,Beneficiary Location:7:Name,Beneficiary Location:Geographic Code,Beneficiary Location:Geographic Code Type,Beneficiary Location:Name,Currency,Data Source,Description,From An Open Call?,Funding Org:Description,Funding Org:Identifier,Funding Org:Name,Funding Org:Postal Code,Funding Org:Web Address,Grant Programme:Code,Grant Programme:Title,Grant Programme:URL,Last modified,License see note,Planned Dates:Duration (months),Planned Dates:Duration months,Planned Dates:End Date,Planned Dates:Start Date,Publisher:Name,Recipient District,Recipient District Geographic Code,Recipient Org:Charity Number,Recipient Org:Company Number,Recipient Org:Identifier,Recipient Org:Location:0:Geographic Code,Recipient Org:Location:0:Geographic Code Type,Recipient Org:Location:0:Name,Recipient Org:Location:1:Geographic Code,Recipient Org:Location:1:Geographic Code Type,Recipient Org:Location:1:Name,Recipient Org:Location:2:Geographic Code,Recipient Org:Location:2:Geographic Code Type,Recipient Org:Location:2:Name,Recipient Org:Name,Recipient Org:Postal Code,Recipient Region,Recipient Ward,Recipient Ward Geographic Code,Retrieved for use in GrantNav,Title,URL,org_type,postcode,org_income,osward,lsoa11,lat,long,relevant
360G-SE-2011014956LOTT,,,,,3300.0,3300.0,2012-08-14,GB,,,KT3 4LE,,E14000770,WPC,Kingston and Surbiton,,E09000021,LAD,Kingston upon Thames,,E01002929,LSOA,,,,,,,,,,,,,,,,,,,,,GBP,https://www.sportengland.org/media/12725/360giving-sport-england-data.xlsx,Funding under Sport England's Inspired Facilities funding programme for a Capital project titled 'Tennis Court Development'. This project lists its main activity as Lawn Tennis. This funding has contributed towards a Tennis - Tennis (Outdoor),Yes,,GB-COH-RC000766,Sport England,,,INSFAC,Inspired Facilities,http://www.sportengland.org/funding,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,9.0,2013-05-01T00:00:00+00:00,2012-08-01T00:00:00+00:00,Sport England,Kingston upon Thames London Boro,E09000021,,00220003,GB-COH-00220003,,,,,,,,,,Malden Wanderers,KT3 4LE,London,Beverley Ward,E05000402,2018-06-04T13:16:09+00:00,Tennis Court Development,,Sport Club,KT3 4LE,,E05000402,E01002929,51.408609,-0.253811,0
360G-cabinetoffice-GA-043973,,,,,1125405.0,,2012-03-31,,E92000001,CTRY,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/663589/GGIS_Grant_Awards_2016_to_2017_2017-10-27_1621.xlsx,Placeholder,No,,D9,Department for Transport,,,SCH-000000498,Bus Service Operator Grants to Local Authorities 2016/17,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,2013-03-30T00:00:00+00:00,2012-03-31T00:00:00+00:00,Cabinet Office,Kingston upon Thames London Boro,E09000021,,,GGIS_ID_401,,,,,,,,,,Surrey County Council,KT1 2DN,London,Grove Ward,E05000408,2018-06-04T13:13:21+00:00,Bus Service Operator Grants to Local Authorities 2016/17,,Government,KT1 2DN,,E05000408,E01002965,51.404903,-0.305144,0
360G-cabinetoffice-GA-028168,,,,,4784000.0,,2012-03-31,,E92000001,CTRY,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/663589/GGIS_Grant_Awards_2016_to_2017_2017-10-27_1621.xlsx,Small scale transport schemes <?5m.,No,,D9,Department for Transport,,,SCH-000000464,Integrated Transport Block 2016/17,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,2013-03-30T00:00:00+00:00,2012-03-31T00:00:00+00:00,Cabinet Office,Kingston upon Thames London Boro,E09000021,,,GGIS_ID_401,,,,,,,,,,Surrey County Council,KT1 2DN,London,Grove Ward,E05000408,2018-06-04T13:13:21+00:00,Integrated Transport Block 2016/17,,Government,KT1 2DN,,E05000408,E01002965,51.404903,-0.305144,0
360G-SE-2011016779LOTT,,,,,160000.0,160000.0,2012-02-09,GB,,,GU2 7AD,,E14000719,WPC,Guildford,,E07000209,LAD,Guildford,,E01030470,LSOA,,,,,,,,,,,,,,,,,,,,,GBP,https://www.sportengland.org/media/12725/360giving-sport-england-data.xlsx,"Funding under Sport England's School Games funding programme for a Revenue project titled 'Surrey School Games Level 3 County Festival'. This project is a Multi Sports project, with a focus on younger beneficiaries.",No,,GB-COH-RC000766,Sport England,,,SCHG,School Games,http://www.sportengland.org/funding,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,41.0,2015-03-31T00:00:00+00:00,2011-11-01T00:00:00+00:00,Sport England,Kingston upon Thames London Boro,E09000021,,,360G-SE-2011016779,,,,,,,,,,Surrey County Council,KT1 2DN,London,Grove Ward,E05000408,2018-06-04T13:16:09+00:00,Surrey School Games Level 3 County Festival,,Government,KT1 2DN,,E05000408,E01002965,51.404903,-0.305144,0
360G-blf-AVR_1_010144104,,,,875.0,875.0,,2005-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,A Second World War Veteran from Surrey has been awarded a grant towards travel costs for a commemorative visit to Malta in May of this year. Funding has also been provided for a carer to travel with the Veteran,,,360G-blf,The Big Lottery Fund,,,AVR1,Heroes Return,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,,2005-03-09,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,,,360G-blf-F028DC0B-4C80-444E-AFE4-FBA71EC26653,E05000401,,Berrylands,E09000021,,Kingston upon Thames,,,,This is a programme for individual veterans as opposed to organisaitons,,London,Berrylands Ward,E05000401,2018-06-04T09:08:02+00:00,Heroes Return,,Individual,,,,,,,0
360G-blf-AVR_1_010140544,,,,2100.0,2100.0,,2005-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,A Second World War Veteran from Surrey has been awarded a grant towards travel costs for a commemorative visit to Canada in June of this year. Funding has also been provided for a carer to travel with the Veteran,,,360G-blf,The Big Lottery Fund,,,AVR1,Heroes Return,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,,2005-01-26,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,,,360G-blf-2B851E3C-6672-450A-8613-46FD96C15A5F,E05000400,,Alexandra,E09000021,,Kingston upon Thames,,,,This is a programme for individual veterans as opposed to organisaitons,,London,Alexandra Ward,E05000400,2018-06-04T09:08:02+00:00,Heroes Return,,Individual,,,,,,,0
360G-SE-2013004928LOTT,,,,,0.0,0.0,2013-09-11,GB,,,KT6 4HH,,E14000770,WPC,Kingston and Surbiton,,E09000021,LAD,Kingston upon Thames,,E01002967,LSOA,,,,,,,,,,,,,,,,,,,,,GBP,https://www.sportengland.org/media/12725/360giving-sport-england-data.xlsx,Funding under Sport England's Inspired Facilities funding programme for a Capital project titled 'Thames Sailing Club - Facilities For The Future'. This project lists its main activity as Multi Sports.,Yes,,GB-COH-RC000766,Sport England,,,INSFAC,Inspired Facilities,http://www.sportengland.org/funding,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,9.0,2014-09-01T00:00:00+00:00,2013-12-19T00:00:00+00:00,Sport England,Kingston upon Thames London Boro,E09000021,,,360G-SE-2013004928,,,,,,,,,,Thames Sailing Club,KT6 4HH,London,Grove Ward,E05000408,2018-06-04T13:16:09+00:00,Thames Sailing Club - Facilities For The Future,,Sport Club,KT6 4HH,,E05000408,E01002967,51.397438,-0.311336,0
360G-SE-2011015849LOTT,,,,,50000.0,50000.0,2012-01-13,GB,,,KT1 1HN,,E14000770,WPC,Kingston and Surbiton,,E09000021,LAD,Kingston upon Thames,,E01002968,LSOA,,,,,,,,,,,,,,,,,,,,,GBP,https://www.sportengland.org/media/12725/360giving-sport-england-data.xlsx,"Funding under Sport England's Inspired Facilities funding programme for a Capital project titled 'Minima Upgrade'. This project lists its main activity as Multi Sports. This funding has contributed towards a Multi Facility - Changing Rooms (Traditional),Pavilion/Clubhouse (Pavilion/Clubhouse )",Yes,,GB-COH-RC000766,Sport England,,,INSFAC,Inspired Facilities,http://www.sportengland.org/funding,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,3.0,2012-03-16T00:00:00+00:00,2012-01-03T00:00:00+00:00,Sport England,Kingston upon Thames London Boro,E09000021,,07773971,GB-COH-07773971,,,,,,,,,,Minima Yacht Club,KT1 1HN,London,Grove Ward,E05000408,2018-06-04T13:16:09+00:00,Minima Upgrade,,Sport Club,KT1 1HN,,E05000408,E01002968,51.407248,-0.308113,0
360G-SE-2011017661LOTT,,,,,1720.0,1720.0,2012-02-22,GB,,,KT1 3PB,,E14000770,WPC,Kingston and Surbiton,,E09000021,LAD,Kingston upon Thames,,E01002970,LSOA,,,,,,,,,,,,,,,,,,,,,GBP,https://www.sportengland.org/media/12725/360giving-sport-england-data.xlsx,Funding under Sport England's Small Grants funding programme for a Revenue project titled 'K&P AC Members Free Weights Gym'. This project lists its main activity as Athletics.,Yes,,GB-COH-RC000766,Sport England,,,SG,Small Grants,http://www.sportengland.org/funding,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,2013-01-22T00:00:00+00:00,2012-01-23T00:00:00+00:00,Sport England,Kingston upon Thames London Boro,E09000021,,,360G-SE-2011017661,,,,,,,,,,Kingston AC & Polytechnic Harriers,KT1 3PB,London,Norbiton Ward,E05000409,2018-06-04T13:16:09+00:00,K&P AC Members Free Weights Gym,,Sport Club,KT1 3PB,,E05000409,E01002970,51.40605,-0.281429,0
360G-SE-2014009498LOTT,,,,,1480.0,1480.0,2014-06-23,GB,,,KT9 2NB,,E14000770,WPC,Kingston and Surbiton,,E09000021,LAD,Kingston upon Thames,,E01002948,LSOA,,,,,,,,,,,,,,,,,,,,,GBP,https://www.sportengland.org/media/12725/360giving-sport-england-data.xlsx,Funding under Sport England's Small Grants funding programme for a Revenue project titled 'Cricket sight screen purchase'. This project lists its main activity as Cricket.,Yes,,GB-COH-RC000766,Sport England,,,SG,Small Grants,http://www.sportengland.org/funding,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,2015-05-30T00:00:00+00:00,2014-06-01T00:00:00+00:00,Sport England,Kingston upon Thames London Boro,E09000021,,,360G-SE-2014009498,,,,,,,,,,Chessington Cricket & Sports Club,KT9 2NB,London,Chessington South Ward,E05000405,2018-06-04T13:16:09+00:00,Cricket sight screen purchase,,Sport Club,KT9 2NB,,E05000405,E01002948,51.354077,-0.312643,0
360G-SE-2014000041LOTT,,,,,60500.0,48961.0,2014-06-19,GB,,,KT1 2PY,,E14000770,WPC,Kingston and Surbiton,,E09000021,LAD,Kingston upon Thames,,E01002964,LSOA,,,,,,,,,,,,,,,,,,,,,GBP,https://www.sportengland.org/media/12725/360giving-sport-england-data.xlsx,"Funding under Sport England's Further Education Activation Fund funding programme for a Revenue project titled 'KC Active- Go Girls'. This project is a Multi Sports project, with a focus on younger beneficiaries.",Yes,,GB-COH-RC000766,Sport England,,,FEAF,Further Education Activation Fund,http://www.sportengland.org/funding,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,36.0,2017-08-31T00:00:00+00:00,2014-09-01T00:00:00+00:00,Sport England,Kingston upon Thames London Boro,E09000021,,,360G-SE-2014000041,,,,,,,,,,Kingston College,KT1 2AQ,London,Grove Ward,E05000408,2018-06-04T13:16:09+00:00,KC Active- Go Girls,,University or College,KT1 2AQ,,E05000408,E01002968,51.406938,-0.305378,0
360G-SE-2012013747LOTT,,,,,7188.0,7188.0,2012-12-06,GB,,,KT2 5AU,,E14000896,WPC,Richmond Park,,E09000021,LAD,Kingston upon Thames,,E01003011,LSOA,,,,,,,,,,,,,,,,,,,,,GBP,https://www.sportengland.org/media/12725/360giving-sport-england-data.xlsx,Funding under Sport England's Small Grants funding programme for a Revenue project titled 'Safety Launch'. This project lists its main activity as Rowing.,Yes,,GB-COH-RC000766,Sport England,,,SG,Small Grants,http://www.sportengland.org/funding,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,10.0,2013-09-30T00:00:00+00:00,2012-12-01T00:00:00+00:00,Sport England,Kingston upon Thames London Boro,E09000021,273467,07547311,GB-COH-07547311,,,,,,,,,,Tiffin School,KT2 6RL,London,Norbiton Ward,E05000409,2018-06-04T13:16:09+00:00,Safety Launch,,School,KT2 6RL,100439.0,E05000409,E01002971,51.41177,-0.295623,0
360G-blf-0030028174,,,,3084.0,3084.0,,2005-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,"This YMCA would like funds to equip a music studio with mixing & recording equipment, where residents will learn instrumental and technical skills from tutors and other residents. Apple G5 /2GDP/512/1 (£1,698), Various studio equipment: breakdown and details given (£1,386)",,,360G-blf,The Big Lottery Fund,,,A4E3,Awards for All,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,,2005-08-02,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,1041923,2971930,GB-CHC-1041923,E05000412,,St. Mark's,E09000021,,Kingston upon Thames,,,,YMCA London South West,,London,St. Mark's Ward,E05000412,2018-06-04T09:08:02+00:00,Hostels Music Studio,,Charity,KT6 4QH,17089802.0,E05000412,E01002989,51.393362,-0.305549,0
360G-SE-2013011995LOTT,,,,,10000.0,10000.0,2014-07-15,GB,,,KT6 4HH,,E14000770,WPC,Kingston and Surbiton,,E09000021,LAD,Kingston upon Thames,,E01002967,LSOA,,,,,,,,,,,,,,,,,,,,,GBP,https://www.sportengland.org/media/12725/360giving-sport-england-data.xlsx,Funding under Sport England's Small Grants funding programme for a Revenue project titled 'Additional club dinghies'. This project lists its main activity as Sailing & Yachting.,Yes,,GB-COH-RC000766,Sport England,,,SG,Small Grants,http://www.sportengland.org/funding,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,2015-06-19T00:00:00+00:00,2014-06-20T00:00:00+00:00,Sport England,Kingston upon Thames London Boro,E09000021,,,360G-SE-2013011995,,,,,,,,,,Thames Sailing Club,KT6 4HH,London,Grove Ward,E05000408,2018-06-04T13:16:09+00:00,Additional club dinghies,,Sport Club,KT6 4HH,,E05000408,E01002967,51.397438,-0.311336,0
360G-SE-2015004709LOTT,,,,,6774.0,6774.0,2015-07-08,GB,,,KT9 2HD,,E14000770,WPC,Kingston and Surbiton,,E09000021,LAD,Kingston upon Thames,,E01002947,LSOA,,,,,,,,,,,,,,,,,,,,,GBP,https://www.sportengland.org/media/12725/360giving-sport-england-data.xlsx,"Funding under Sport England's Small Grants funding programme for a Revenue project titled 'ParkFit'. This project is a Multi Sports project, with a focus on younger beneficiaries.",Yes,,GB-COH-RC000766,Sport England,,,SG,Small Grants,http://www.sportengland.org/funding,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,2016-06-11T00:00:00+00:00,2015-07-01T00:00:00+00:00,Sport England,Kingston upon Thames London Boro,E09000021,,,360G-SE-2015004709,,,,,,,,,,Royal Borough of Kingston upon Thames Council,KT1 1EU,London,Grove Ward,E05000408,2018-06-04T13:16:09+00:00,ParkFit,,Government,KT1 1EU,,E05000408,E01002968,51.40772,-0.305939,0
360G-SE-2013003230LOTT,,,,,10000.0,10000.0,2013-06-21,GB,,,KT1 1HN,,E14000770,WPC,Kingston and Surbiton,,E09000021,LAD,Kingston upon Thames,,E01002968,LSOA,,,,,,,,,,,,,,,,,,,,,GBP,https://www.sportengland.org/media/12725/360giving-sport-england-data.xlsx,"Funding under Sport England's Small Grants funding programme for a Revenue project titled 'Minima New Club Boats for Training'. This project is a Sailing & Yachting project, with a focus on younger beneficiaries.",Yes,,GB-COH-RC000766,Sport England,,,SG,Small Grants,http://www.sportengland.org/funding,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,2014-05-18T00:00:00+00:00,2013-05-19T00:00:00+00:00,Sport England,Kingston upon Thames London Boro,E09000021,,07773971,GB-COH-07773971,,,,,,,,,,Minima Yacht Club,KT1 1HN,London,Grove Ward,E05000408,2018-06-04T13:16:09+00:00,Minima New Club Boats for Training,,Sport Club,KT1 1HN,,E05000408,E01002968,51.407248,-0.308113,0
360G-SE-2013007020LOTT,,,,,0.0,,2013-08-15,GB,,,KT9 2AA,,E14000770,WPC,Kingston and Surbiton,,E09000021,LAD,Kingston upon Thames,,E01002945,LSOA,,,,,,,,,,,,,,,,,,,,,GBP,https://www.sportengland.org/media/12725/360giving-sport-england-data.xlsx,Funding under Sport England's Inspired Facilities funding programme for a Capital project titled 'Chessington Cycle Track'. This project lists its main activity as Cycling.,Yes,,GB-COH-RC000766,Sport England,,,INSFAC,Inspired Facilities,http://www.sportengland.org/funding,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,,,,Sport England,Kingston upon Thames London Boro,E09000021,,,360G-SE-2013007020,,,,,,,,,,Royal Borough of Kingston upon Thames Council,KT1 1EU,London,Grove Ward,E05000408,2018-06-04T13:16:09+00:00,Chessington Cycle Track,,Government,KT1 1EU,,E05000408,E01002968,51.40772,-0.305939,0
360G-blf-0031043172,,,,,4700.0,,2016-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/open_data_2015_2017.xlsx,"This project will celebrate the town of Berrylands through a summer festival that will bring together different generations and cultures. Local businesses, including catering, running clubs, a multi-cultural society and a pet club will support the festival. Activities will include a mobile caving system, inflatables, a bungee trampoline, a mobile climbing wall, a DJ and a coconut shy.",,,360G-blf,The Big Lottery Fund,,,CEL1,Celebrate,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,2017-12-15T00:00:00+00:00,2016-12-15T00:00:00+00:00,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,280767,,GB-CHC-280767,E05000400,,Alexandra,E09000021,,Kingston upon Thames,,,,Berrylands Scout Group,,London,Alexandra Ward,E05000400,2018-06-04T08:59:31+00:00,Berrylands Summer Festival,,Charity,KT5 9DX,18862.0,E05000400,E01002917,51.38884,-0.279113,1
360G-blf-AVR_1_010158603,,,,875.0,1300.0,,2005-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://www.biglotteryfund.org.uk/-/media/Files/Research%20Documents/aOpenDataFiles/BLFOpenData_2004_2015_V41.csv,A Second World War Veteran from Surrey has been awarded a grant towards travel costs for a commemorative visit to Malta in October of this year. Funding has also been provided for a spouse and a carer to travel with the Veteran.,,,360G-blf,The Big Lottery Fund,,,AVR1,Heroes Return,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,,2005-07-06,Big Lottery Fund,Kingston upon Thames London Boro,E09000021,,,360G-blf-F77F0FF7-42C4-42BA-B3AF-F86A6FD9D72B,E05000404,,Chessington North and Hook,E09000021,,Kingston upon Thames,,,,This is a programme for individual veterans as opposed to organisaitons,,London,Chessington North and Hook Ward,E05000404,2018-06-04T09:08:02+00:00,Heroes Return,,Individual,,,,,,,0
360G-SE-2014009121LOTT,,,,,25000.0,25000.0,2014-07-15,GB,,,KT6 4HH,,E14000770,WPC,Kingston and Surbiton,,E09000021,LAD,Kingston upon Thames,,E01002967,LSOA,,,,,,,,,,,,,,,,,,,,,GBP,https://www.sportengland.org/media/12725/360giving-sport-england-data.xlsx,Funding under Sport England's Flood Relief Fund funding programme for a Capital project titled 'Restoration of Hard Standing'. This project lists its main activity as Sailing & Yachting. This funding has contributed towards a Flood Relief - Flood Relief (Repair/Defence),Yes,,GB-COH-RC000766,Sport England,,,FRF,Flood Relief Fund,http://www.sportengland.org/funding,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,2015-10-31T00:00:00+00:00,2014-11-01T00:00:00+00:00,Sport England,Kingston upon Thames London Boro,E09000021,,,360G-SE-2014009121,,,,,,,,,,Thames Sailing Club,KT6 4HH,London,Grove Ward,E05000408,2018-06-04T13:16:09+00:00,Restoration of Hard Standing,,Sport Club,KT6 4HH,,E05000408,E01002967,51.397438,-0.311336,0
360G-SE-2016000283LOTT,,,,,57191.0,46356.0,2016-05-25,GB,,,KT2 7NS,,E14000896,WPC,Richmond Park,,E09000021,LAD,Kingston upon Thames,,E01002957,LSOA,,,,,,,,,,,,,,,,,,,,,GBP,https://www.sportengland.org/media/12725/360giving-sport-england-data.xlsx,Funding under Sport England's Inspired Facilities funding programme for a Capital project titled 'Clubhouse Renovation'. This project lists its main activity as Golf. This funding has contributed towards a Pavilion/Clubhouse - Pavilion/Clubhouse (Pavilion/Clubhouse ),Yes,,GB-COH-RC000766,Sport England,,,INSFAC,Inspired Facilities,http://www.sportengland.org/funding,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,18.0,2017-11-01T00:00:00+00:00,2016-05-01T00:00:00+00:00,Sport England,Kingston upon Thames London Boro,E09000021,,00703593,GB-COH-00703593,,,,,,,,,,Coombe Wood Golf Club Limited,KT2 7NS,London,Coombe Hill Ward,E05000406,2018-06-04T13:16:09+00:00,Clubhouse Renovation,,Sport Club,KT2 7NS,,E05000406,E01002957,51.418724,-0.276121,1
360G-SE-2015004710LOTT,,,,,9522.0,9522.0,2015-11-19,GB,,,W4 3TU,,E14000593,WPC,Brentford and Isleworth,,E09000018,LAD,Hounslow,,E01002579,LSOA,,,,,,,,,,,,,,,,,,,,,GBP,https://www.sportengland.org/media/12725/360giving-sport-england-data.xlsx,"Funding under Sport England's Small Grants funding programme for a Revenue project titled 'Junior Learn to Row'. This project is a Rowing project, with a focus on younger beneficiaries.",Yes,,GB-COH-RC000766,Sport England,,,SG,Small Grants,http://www.sportengland.org/funding,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,12.0,2016-12-17T00:00:00+00:00,2016-01-09T00:00:00+00:00,Sport England,Kingston upon Thames London Boro,E09000021,1151845,,GB-CHC-1151845,,,,,,,,,,Team Keane Sculling School,KT2 5TB,London,Canbury Ward,E05000403,2018-06-04T13:16:09+00:00,Junior Learn to Row,,Charity,KT2 5TB,173931.0,E05000403,E01002934,51.42064,-0.298342,1
360G-northernrock:6,,,,67597.5,67597.5,,1998-03-10,GB,,,Northern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBP,https://docs.google.com/spreadsheets/d/1gyyHFzS60yrMqindaaTNW8kSFa0sOIZAjDIR8sZ5dLA/export?format=xlsx,Towards the costs of employing family support worker(s) to give specialist support and care to people with neurofibromatosis in Leeds and Newcastle.,,,GB-COH-03416658,Northern Rock Foundation,,,,,,,http://www.opendefinition.org/licenses/odc-pddl,,36.0,2001-03-10T00:00:00+00:00,1998-03-10T00:00:00+00:00,Northern Rock Foundation,Kingston upon Thames London Boro,E09000021,1078790,,GB-CHC-1078790,,,,,,,,,,The Neurofibromatosis Association,KT1 1HL,London,Grove Ward,E05000408,2018-06-04T13:15:23+00:00,Grant awarded to The Neurofibromatosis Association (Northern),,Charity - National,KT1 1HL,566715.0,E05000408,E01002968,51.408258,-0.307731,0
360G-SE-2010010738EXCH,,,,,16100.0,16100.0,2010-11-13,GB,,,KT6 7LQ,,E14000770,WPC,Kingston and Surbiton,,E09000021,LAD,Kingston upon Thames,,E01003004,LSOA,,,,,,,,,,,,,,,,,,,,,GBP,https://www.sportengland.org/media/12725/360giving-sport-england-data.xlsx,Funding under Sport England's Sportsmatch funding programme for a Revenue project titled 'Equiping the extension to existing gym facilities'. This project lists its main activity as Gymnastics.,Yes,,GB-COH-RC000766,Sport England,,,SM,Sportsmatch,http://www.sportengland.org/funding,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,,2011-03-31T00:00:00+00:00,2011-11-30T00:00:00+00:00,Sport England,Kingston upon Thames London Boro,E09000021,,,360G-SE-2010010738,,,,,,,,,,Tolworth Gymnastics Club,KT6 7LQ,London,Tolworth and Hook Rise Ward,E05000414,2018-06-04T13:16:09+00:00,Equiping the extension to existing gym facilities,,Sport Club,KT6 7LQ,,E05000414,E01003004,51.375671,-0.296121,0
360G-SE-2017001802LOTT,,,,,136000.0,34000.0,2017-08-01,GB,,,KT1 2AQ ,,E14000770,WPC,Kingston and Surbiton,,E09000021,LAD,Kingston upon Thames,,E01002968,LSOA,,,,,,,,,,,,,,,,,,,,,GBP,https://www.sportengland.org/media/12725/360giving-sport-england-data.xlsx,"Funding under Sport England's Tackling Inactivity in Colleges funding programme for a Revenue project titled 'Tackling Inactivity in Colleges - KC Active'. This project is a Sport and Physical Activity project, with a focus on younger beneficiaries.",Yes,,GB-COH-RC000766,Sport England,,,TIC,Tackling Inactivity in Colleges,http://www.sportengland.org/funding,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,24.0,2019-08-31T00:00:00+00:00,2017-09-01T00:00:00+00:00,Sport England,Kingston upon Thames London Boro,E09000021,,,360G-SE-2017001802,,,,,,,,,,Kingston College,KT1 2AQ,London,Grove Ward,E05000408,2018-06-04T13:16:09+00:00,Tackling Inactivity in Colleges - KC Active,,University or College,KT1 2AQ,,E05000408,E01002968,51.406938,-0.305378,0
360G-SE-2017006610LOTT,,,,,42902.0,25741.0,2017-08-22,GB,,,KT3 6PT ,,E14000770,WPC,Kingston and Surbiton,,E09000021,LAD,Kingston upon Thames,,E01002983,LSOA,,,,,,,,,,,,,,,,,,,,,GBP,https://www.sportengland.org/media/12725/360giving-sport-england-data.xlsx,Funding under Sport England's Satellite Clubs funding programme for a Revenue project titled 'Satellite clubs'. This project lists its main activity as Sports Development.,No,,GB-COH-RC000766,Sport England,,,SAT,Satellite Clubs,http://www.sportengland.org/funding,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,,11.0,2018-08-01T00:00:00+00:00,2017-09-01T00:00:00+00:00,Sport England,Kingston upon Thames London Boro,E09000021,1111639,04573248,GB-COH-04573248,,,,,,,,,,Fulham Football Club Foundation,KT3 6PT,London,St. James Ward,E05000411,2018-06-04T13:16:09+00:00,Satellite clubs,,Charity,KT3 6PT,1961055.0,E05000411,E01002983,51.391254,-0.247185,1
